schema dungeon-v2-traversal-v1
player-movement-policy 9

goal crown west 3 solved
pair lcc west west 2 solved
pair lcc west west 3 solved
pair met east east 0 solved
pair met east east 1 solved
pair met east east 2 solved
pair met east east 3 solved
pair met east west 0 solved
pair met east west 1 solved
pair met east west 2 solved
pair met east west 3 solved
pair met west east 0 solved
pair met west east 1 solved
pair met west east 2 solved
pair met west east 3 solved
pair met west west 0 solved
pair met west west 1 solved
pair met west west 2 solved
pair met west west 3 solved
pair ob east east 0 solved
pair ob east east 1 solved
pair ob east east 2 solved
pair ob east east 3 solved
pair ob east west 0 solved
pair ob east west 1 solved
pair ob east west 2 solved
pair ob east west 3 solved
pair ob west east 0 solved
pair ob west east 1 solved
pair ob west east 2 solved
pair ob west east 3 solved
pair ob west west 0 solved
pair ob west west 1 solved
pair ob west west 2 solved
pair ob west west 3 solved
pair ow2 ceiling ceiling 0 solved
pair ow2 ceiling ceiling 1 solved
pair ow2 ceiling ceiling 2 solved
pair ow2 ceiling ceiling 3 solved
pair ow2 ceiling east 0 solved
pair ow2 ceiling east 1 solved
pair ow2 ceiling east 2 solved
pair ow2 ceiling east 3 solved
pair ow2 ceiling floor 0 inconclusive
pair ow2 ceiling floor 1 inconclusive
pair ow2 ceiling floor 2 solved
pair ow2 ceiling floor 3 solved
pair ow2 east ceiling 0 inconclusive
pair ow2 east ceiling 1 solved
pair ow2 east ceiling 2 solved
pair ow2 east ceiling 3 solved
pair ow2 east east 0 solved
pair ow2 east east 1 solved
pair ow2 east east 2 solved
pair ow2 east east 3 solved
pair ow2 east floor 0 solved
pair ow2 east floor 1 solved
pair ow2 east floor 2 solved
pair ow2 east floor 3 solved
pair ow2 floor ceiling 0 inconclusive
pair ow2 floor ceiling 1 inconclusive
pair ow2 floor ceiling 2 solved
pair ow2 floor ceiling 3 solved
pair ow2 floor east 0 solved
pair ow2 floor east 1 solved
pair ow2 floor east 2 solved
pair ow2 floor east 3 solved
pair ow2 floor floor 0 solved
pair ow2 floor floor 1 solved
pair ow2 floor floor 2 solved
pair ow2 floor floor 3 solved
pair owb ceiling ceiling 0 solved
pair owb ceiling ceiling 1 solved
